Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Postgres:Petición a postgres,60,17789,7333,19133,2781.50,0.000%,3.05002,35.86,0.55,12039.0
TOTAL,60,17789,7333,19133,2781.50,0.000%,3.05002,35.86,0.55,12039.0
